"model","window","coin","horizon","accuracy","misclassifications","sensitivity","specificity","precision","recall","f1_score","TP","TN","FP","FN","FP_cost_ratio","FN_cost_ratio","total_observations"
"GB","Window 2","PAX","3d",0.960176991150443,0.0398230088495575,0.0526315789473684,0.986342943854325,0.1,0.0526315789473684,0.0689655172413793,1,650,9,18,0.333333333333333,0.666666666666667,678
"GB","Window 2","PAX","5d",0.920118343195266,0.0798816568047337,0,0.955453149001536,0,0,0,0,622,29,25,0.537037037037037,0.462962962962963,676
"GB","Window 2","PAX","7d",0.857566765578635,0.142433234421365,0.0645161290322581,0.895800933125972,0.0289855072463768,0.0645161290322581,0.04,2,576,67,29,0.697916666666667,0.302083333333333,674
"GB","Window 2","USDT","1d",0.996343692870201,0.00365630712979892,0.5,0.999080882352941,0.75,0.5,0.6,3,1087,1,3,0.25,0.75,1094
"GB","Window 2","USDT","3d",0.982600732600733,0.0173992673992674,0.1,0.990757855822551,0.0909090909090909,0.1,0.0952380952380952,1,1072,10,9,0.526315789473684,0.473684210526316,1092
"GB","Window 2","USDT","5d",0.873394495412844,0.126605504587156,0,0.884758364312268,0,0,0,0,952,124,14,0.898550724637681,0.101449275362319,1090
"GB","Window 2","USDT","7d",0.949448529411765,0.0505514705882353,0,0.965420560747664,0,0,0,0,1033,37,18,0.672727272727273,0.327272727272727,1088
"GB","Window 2","USDC","1d",0.918647166361974,0.0813528336380256,0.0645161290322581,0.998001998001998,0.75,0.0645161290322581,0.118811881188119,6,999,2,87,0.0224719101123595,0.97752808988764,1094
"GB","Window 2","USDC","3d",0.844322344322344,0.155677655677656,0.0773480662983425,0.996706915477497,0.823529411764706,0.0773480662983425,0.141414141414141,14,908,3,167,0.0176470588235294,0.98235294117647,1092
"GB","Window 2","USDC","5d",0.769724770642202,0.230275229357798,0.14,0.957142857142857,0.492957746478873,0.14,0.218068535825545,35,804,36,215,0.143426294820717,0.856573705179283,1090
"GB","Window 2","USDC","7d",0.715073529411765,0.284926470588235,0.0862619808306709,0.969032258064516,0.529411764705882,0.0862619808306709,0.148351648351648,27,751,24,286,0.0774193548387097,0.92258064516129,1088
"PCR","Window 1","DAI","1d",0.914634146341463,0.0853658536585366,0.67741935483871,0.969924812030075,0.84,0.67741935483871,0.75,21,129,4,10,0.285714285714286,0.714285714285714,164
"PCR","Window 1","DAI","3d",0.823170731707317,0.176829268292683,0.428571428571429,0.930232558139535,0.625,0.428571428571429,0.508474576271186,15,120,9,20,0.310344827586207,0.689655172413793,164
"PCR","Window 1","DAI","5d",0.603658536585366,0.396341463414634,0.378378378378378,0.669291338582677,0.25,0.378378378378378,0.301075268817204,14,85,42,23,0.646153846153846,0.353846153846154,164
"PCR","Window 1","DAI","7d",0.23780487804878,0.76219512195122,1,0,0.23780487804878,1,0.38423645320197,39,0,125,0,1,0,164
"PCR","Window 1","PAX","1d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"PCR","Window 1","PAX","3d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"PCR","Window 1","PAX","5d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"PCR","Window 1","PAX","7d",1,0,NA,1,NA,NA,NA,0,40,0,0,NA,NA,40
"PCR","Window 1","USDT","1d",1,0,NA,1,NA,NA,NA,0,164,0,0,NA,NA,164
"PCR","Window 1","USDT","3d",0.99390243902439,0.00609756097560976,0,1,NA,0,NA,0,163,0,1,0,1,164
"PCR","Window 1","USDT","5d",0.981707317073171,0.0182926829268293,0,1,NA,0,NA,0,161,0,3,0,1,164
"PCR","Window 1","USDT","7d",0.969512195121951,0.0304878048780488,0,1,NA,0,NA,0,159,0,5,0,1,164
"PCR","Window 1","USDC","1d",0.792682926829268,0.207317073170732,0.0571428571428571,0.992248062015504,0.666666666666667,0.0571428571428571,0.105263157894737,2,128,1,33,0.0294117647058824,0.970588235294118,164
