"model","window","coin","horizon","accuracy","sensitivity","specificity","precision","recall","f1_score","auc","TP","TN","FP","FN","total_observations"
"PCR","Window 1","DAI","depeg_5d",0.604,0.378,0.669,0.25,0.378,0.301,0.572,14,85,42,23,164
"PCR","Window 1","DAI","depeg_7d",0.238,1,0,0.238,1,0.384,0.662,39,0,125,0,164
"PCR","Window 1","PAX","depeg_1d",1,0,1,0,0,0,0,0,40,0,0,40
"PCR","Window 1","PAX","depeg_3d",1,0,1,0,0,0,0,0,40,0,0,40
"PCR","Window 1","PAX","depeg_5d",1,0,1,0,0,0,0,0,40,0,0,40
"PCR","Window 1","PAX","depeg_7d",1,0,1,0,0,0,0,0,40,0,0,40
"PCR","Window 1","USDC","depeg_1d",0.793,0.057,0.992,0.667,0.057,0.105,0.593,2,128,1,33,164
"PCR","Window 1","USDC","depeg_3d",0.762,0,1,0,0,0,0.551,0,125,0,39,164
"PCR","Window 1","USDC","depeg_5d",0.726,0,1,0,0,0,0.552,0,119,0,45,164
"PCR","Window 1","USDC","depeg_7d",0.689,0,1,0,0,0,0.578,0,113,0,51,164
"PCR","Window 1","USDT","depeg_1d",1,0,1,0,0,0,0,0,164,0,0,164
"PCR","Window 1","USDT","depeg_3d",0.994,0,1,0,0,0,1,0,163,0,1,164
"PCR","Window 1","USDT","depeg_5d",0.982,0,1,0,0,0,0.959,0,161,0,3,164
"PCR","Window 1","USDT","depeg_7d",0.97,0,1,0,0,0,0.932,0,159,0,5,164
"PCR","Window 1","UST","depeg_1d",0.601,0,1,0,0,0,0.507,0,98,0,65,163
"PCR","Window 1","UST","depeg_3d",0.429,0,1,0,0,0,0.646,0,69,0,92,161
"PCR","Window 1","UST","depeg_5d",0.34,0,1,0,0,0,0.733,0,54,0,105,159
"PCR","Window 1","UST","depeg_7d",0.287,0,1,0,0,0,0.811,0,45,0,112,157
"PCR","Window 2","DAI","depeg_1d",0.99,0,0.999,0,0,0,0.886,0,1083,1,10,1094
"PCR","Window 2","DAI","depeg_3d",0.932,0.143,0.948,0.051,0.143,0.075,0.772,3,1015,56,18,1092
"PCR","Window 2","DAI","depeg_5d",0.928,0.429,0.941,0.16,0.429,0.233,0.839,12,999,63,16,1090
"PCR","Window 2","DAI","depeg_7d",0.859,0.556,0.87,0.127,0.556,0.207,0.831,20,915,137,16,1088
"PCR","Window 2","PAX","depeg_1d",0.991,0.143,1,1,0.143,0.25,0.508,1,673,0,6,680
"PCR","Window 2","PAX","depeg_3d",0.954,0,0.982,0,0,0,0.602,0,647,12,19,678
"PCR","Window 2","PAX","depeg_5d",0.891,0.12,0.92,0.055,0.12,0.075,0.64,3,599,52,22,676
"PCR","Window 2","PAX","depeg_7d",0.745,0.129,0.774,0.027,0.129,0.044,0.648,4,498,145,27,674
"PCR","Window 2","USDC","depeg_1d",0.916,0.032,0.998,0.6,0.032,0.061,0.669,3,999,2,90,1094
"PCR","Window 2","USDC","depeg_3d",0.836,0.022,0.998,0.667,0.022,0.043,0.728,4,909,2,177,1092
"PCR","Window 2","USDC","depeg_5d",0.776,0.024,1,1,0.024,0.047,0.715,6,840,0,244,1090
"PCR","Window 2","USDC","depeg_7d",0.715,0.013,0.999,0.8,0.013,0.025,0.72,4,774,1,309,1088
"PCR","Window 2","USDT","depeg_1d",0.996,0.5,0.999,0.75,0.5,0.6,0.835,3,1087,1,3,1094
"PCR","Window 2","USDT","depeg_3d",0.989,0.3,0.995,0.375,0.3,0.333,0.655,3,1077,5,7,1092
"PCR","Window 2","USDT","depeg_5d",0.983,0.286,0.993,0.333,0.286,0.308,0.582,4,1068,8,10,1090
"PCR","Window 2","USDT","depeg_7d",0.979,0.222,0.992,0.308,0.222,0.258,0.535,4,1061,9,14,1088
