"date","open","high","low","close","depeg_1d","depeg_3d","depeg_5d","depeg_7d","volume","V_monthly","ThreshD","ThreshU","marketCap","circulatingSupply","log_return","close_lag1d","close_lag7d","abs_peg_deviation","intraday_range","volatility_3d","volatility_7d","volatility_30d","ma_7d","ma_30d","dist_from_ma_7d","ema_7d","rsi_14","bb_pctb","dist_from_lower_band","value","value_classification","pct_open_1d","pct_high_1d","pct_low_1d","pct_close_1d","pct_open_3d","pct_high_3d","pct_low_3d","pct_close_3d","pct_open_7d","pct_high_7d","pct_low_7d","pct_close_7d","pct_open_30d","pct_high_30d","pct_low_30d","pct_close_30d","parkinson_daily","parkinson_7d","rvol","close_dai","close_pax","close_usdc","close_usdt","close_wluna","token_address","token_name","shannon_entropy","entropy_7d_avg","log_diff_entropy","gini_coefficient","gini_7d_avg","log_diff_gini","pin_proxy","pin_7d_avg","log_diff_pin","n_big_players","big_players_vol_pct","big_player_7d_avg","gross_inflow","gross_outflow","net_swap_flow","net_flow_7d_avg","log_diff_net_flow"
2021-03-11,1.00032371,1.01030035,0.99605043,1.00085847,0,0,0,1,29271238.24,1170251715.35,0.990510567566889,1.00948943243311,900832348.7,900059670.05,0.000205664608773854,1.00065265,0.99924065,0.000858470000000056,0.014237697363944,0.00110352748608071,0.000781056853267033,0.00169686271743651,1.00056154428571,1.00064452433333,0.000296759070925233,1.00063143804421,48.721926606246,0.643262537354664,0.00287906926279952,73,"Greed",-0.00105286911477371,0.00807565807246971,-0.000392867863143801,0.000205685759189399,-0.000456383815251343,0.00857420550450523,-0.00018225674340913,0.000822890746234032,-0.000137216744453103,0.00788142450238022,0.00160146557847038,0.00161904942518111,-0.00236423003138425,-0.00338265796658069,0.0219544930493838,-0.00355498426369908,0.00853100375763429,0.00567900742543383,0.694828969537195,1.00091212,0.99814698,1.00012912,1.0005828,10.81598435,4.34303039965033e+34,"UST",4.68260714207097,5.1300388418696,0.668884561308641,0.900848760310773,0.890245951292398,0.692751191638946,0.00207900207900208,0.00179966326769855,1.25466119971321,30,0.861398034292863,0.743639363892899,53960371.0136894,54133666.2436894,-173295.230000004,-754875.644285727,0.0717437409007341
2021-03-12,1.00044494,1.00166231,0.99621241,1.00020538,0,0,1,1,59243354.43,1185284678.94,0.990550856530167,1.00944914346983,947718010.37,947523410.8,-0.000652742812968038,1.00085847,0.9999084,0.000205379999999922,0.00544878092937262,0.000540829029670052,0.000816636714920102,0.00148243064880266,1.00060397,1.00036050833333,-0.00039834940890759,1.00052492353316,47.1948980205418,0.48717542439241,0.00214298072746568,70,"Greed",0.00012119076933603,-0.00854997229289302,0.000162622288110458,-0.000652529822723221,0.000550568123476744,9.67585341904728e-05,0.00273113502687577,-0.00123979605230621,0.000221590518837056,-0.000630423694568485,0.00656598801536562,0.000297007205859948,-0.00257343238186346,-0.0104385031813866,0.00940031597423183,-0.00844677462715197,0.00327648835374347,0.00505614003398656,1.42346551731925,1.00183293,0.99816713,1.00017443,1.00034254,14.16292564,4.34303039965033e+34,"UST",4.56362586123746,5.06324558876003,0.680350648996808,0.905159764432674,0.892665305437842,0.69548143719977,0,0.00136632511949691,0,20,0.778068432234058,0.759760548396728,64537175.4000545,61850206.5400545,2686968.86,-630338.792857157,2.80366714602828
2021-03-13,0.99879359,1.00285581,0.99707228,1.00020472,0,0,1,1,43197260.39,1198270905.85,0.990585115531496,1.0094148844685,990486895.33,990284167.1,-6.59864694770117e-07,1.00020538,1.00072901,0.000204719999999936,0.00578234623807812,0.000448078352799007,0.000741818484331544,0.00131763782893154,1.00052907142857,1.000206766,-0.000324179914241226,1.00044487264987,47.193288270158,0.499617311236673,0.00214131477743145,74,"Greed",-0.00165061557510595,0.00119151932551008,0.000863139217468677,-6.59864477019382e-07,-0.00258088346515842,0.000647511027339138,0.000632630964233882,-0.000447637849157733,-0.00102315768804625,0.00151502174948257,0.00192851731127091,-0.000523908065780948,-0.00908654028788009,-0.0117349743690168,-0.00112049725966704,-0.0045901592488001,0.00347349831459649,0.00503087936558528,1.03961293517391,1.00123579,0.997717,1.00023186,0.99984543,14.58630969,4.34303039965033e+34,"UST",4.36923532614164,4.90931900539976,0.671608575116624,0.923070691407406,0.900797970040115,0.702936575169669,0.00135685210312076,0.00107699154170147,2.6788631072448,18,0.695431348915153,0.750007973916185,82982957.7536272,72906518.5336272,10076439.22,666182.658571415,1.55816829891244
2021-03-14,1.00084871,1.00434798,0.99625713,1.00004841,0,1,1,1,36573440.19,1221524628.89,0.990645241276473,1.00935475872353,1029964794,1029914932.51,-0.000156290219446529,1.00020472,1.00029976,4.84099999999987e-05,0.00809045834091158,0.000340562807805733,0.000727133443901615,0.00124567278456168,1.00049316428571,1.00012906333333,-0.00044453505690041,1.0003457569874,46.7862741671863,0.460939774027908,0.00197151101331433,78,"Extreme Greed",0.0020576023120053,0.00148792078095445,-0.000817543538568725,-0.000156278006766392,0.000524830107246092,-0.0058916835968632,0.000207519613238864,-0.000809365184270316,0.000794166717913891,-0.00173598992261723,4.61649123900093e-05,-0.000251274677902646,-0.00143994969290175,-0.00713761097423234,0.002278790907408,-0.0023255463856309,0.00485760741825186,0.00486406416863258,0.932005472902623,1.00179988,1.00342285,0.99999785,0.99979069,15.87485285,4.34303039965033e+34,"UST",5.43098700182505,4.90341366304974,0.807804377486347,0.872646686864623,0.897160863153472,0.665401412708047,0,0.000904250135586421,0,22,0.609488458163817,0.74783129946306,23271209.9687204,20846133.1087204,2425076.86,828274.701428559,0.215649955851632
2021-03-15,1.00093028,1.00189051,0.99173371,1.00071849,0,1,1,1,67578230.77,1263150602.13,0.990749150359094,1.00925084964091,1067394824.44,1066628460.07,0.00066982318135447,1.00004841,1.00003555,0.000718489999999905,0.0101495076802268,0.000438982094043067,0.000763070616104316,0.00124371077882039,1.00059072714286,1.00010262166667,0.000127687428712835,1.00043894024055,48.8238844037687,0.602288817443868,0.00252285422780255,76,"Extreme Greed",8.15008294309179e-05,-0.00244683122676262,-0.00454041418002203,0.000670047562997382,0.000485124148861206,0.000227821290390782,-0.00449572797431831,0.000513004639107204,0.000149713156367131,0.00017873410194645,-0.00451530366420675,0.00068291572234598,-0.00184410429367483,-0.00546554421155013,0.000427303213650264,-0.000792052622368739,0.00611934060032225,0.00524007537550965,1.77546145956899,1.0023797,1.00388406,1.00008406,1.00037388,16.33986864,4.34303039965033e+34,"UST",4.19995780490033,4.72722021318267,0.572852416502169,0.874690892680731,0.898783489483317,0.694260403834552,0.00118063754427391,0.000763698046982386,2.54994312838816,21,0.866776261496596,0.777597268622223,79777504.5230909,72586760.6730909,7190743.84999999,2360078.41285713,1.37754620555707
2021-03-16,1.00050139,1.00230896,0.99806548,1.00091543,1,1,1,1,113368656.21,1354657799.05,0.990962323342509,1.00903767665749,1116892754.99,1115871251.61,0.000196779239867843,1.00071849,1.00144697,0.00091543000000005,0.00423959894393871,0.000414506124735759,0.000511458385718163,0.00121680313373555,1.00051479285714,1.00012942666667,0.000400431003836543,1.00055806268041,49.4366930404436,0.637345504738293,0.00268545666094922,71,"Greed",-0.000428491383036204,0.00041766040882048,0.00638454651299486,0.00019679860217247,0.00170986279557514,-0.000545292747518807,0.000996116349759434,0.000710564533228872,0.000607024083532433,0.000742397850404842,0.00459633060738872,-0.000530771988855172,-0.000902322255277845,-0.0020217963540677,0.00133783200824621,0.000804060524144877,0.00254799624655688,0.00500166807345637,2.73801283688746,1.0012243,0.99915585,0.99999413,1.00005832,19.8807765,4.34303039965033e+34,"UST",4.65641817470644,4.68873328634195,0.746050652263985,0.921721724731334,0.89994302243097,0.719617751854811,0.00230414746543779,0.00109286197061636,1.02934046746221,29,0.791661219774832,0.778802261970838,169208018.231995,174823949.691995,-5615931.46000001,2702837.81571428,0.577171860026706
2021-03-17,1.00048835,1.02487489,0.99570206,0.99887655,0,0,1,1,158858282.57,1482750095.12,0.991230449234836,1.00876955076516,1176684380.39,1178007818.49,-0.00203909279249624,1.00091543,1.00065265,0.00112345000000002,0.0292056410774684,0.00144690013874885,0.000883857357144391,0.00127398138114312,1.00026106428571,1.00008934066667,-0.00138415293281767,1.00013768451031,43.6139763688487,-0.0504892809341036,-0.000144146937778088,71,"Greed",-1.30334651509277e-05,0.0225139461987849,-0.00236800094518838,-0.00203701525512508,-0.000360054418214887,0.0204380457856848,-0.000557155360082583,-0.00117180327300358,-0.00088845568141734,0.0226181047830973,-0.000742481824579974,-0.0017749415843749,0.000892129903045445,0.0220487514539421,0.00501639111018672,-0.00120248484737409,0.0173428558985853,0.00814062305785588,3.32188762785884,1.00526405,0.99919056,0.99890232,0.99908311,18.58723782,4.34303039965033e+34,"UST",5.02730751827998,4.70430554702312,0.732189043373678,0.88777513401744,0.897987664920712,0.674507521742486,0.00363636363636364,0.00150814326117117,0.921293271382355,23,0.734497247479553,0.762474428908125,89720250.0758952,82219240.4658953,7501009.60999998,3441573.10142856,0.848297042119147
2021-03-18,0.99887946,1.00307783,0.99518314,1.00184157,0,1,1,1,48324052.7,1479442057.69,0.991223917852124,1.00877608214788,1238512225.25,1236235608.16,0.00296395793191809,0.99887655,1.00085847,0.00184157000000007,0.00788017810041571,0.00250622286219414,0.0015134471741911,0.00138497248652251,1.00040150714286,1.00015990433333,0.00143948489367608,1.00056365588273,52.3950736537266,0.928452718157674,0.00278324742857852,72,"Greed",-0.00160810468207837,-0.0212680203336818,-0.000521159914041043,0.00296835479819813,-0.0020489139363432,0.00118507959517463,0.00347818165825983,0.00112227365759992,-0.00144378263312376,-0.00714888399276513,-0.000870729005156974,0.000982256762037508,-0.00137708622654824,0.000763025092440253,0.00315023945376085,0.00211749303053105,0.00474539539558499,0.00768699234085304,0.984824514451766,1.00237566,1.00068423,1.00099445,1.00092542,19.00501966,4.34303039965033e+34,"UST",4.62216650795532,4.69567117072089,0.652009324692645,0.932224478977175,0.902469910444483,0.71781539272795,0,0.00121114296417087,0,21,0.797013244422321,0.753276601783762,140650925.287515,134177306.607515,6473618.67999996,4391132.23142855,0.622205732570014
2021-03-19,1.00202763,1.00535066,0.99915519,1.00323001,0,1,1,1,89826392.74,1525434953.63,0.991313021056508,1.00868697894349,1280535843.39,1276413014.03,0.00138492833450071,1.00184157,1.00020538,0.00323001,0.00617552299895811,0.00255759560586059,0.0015313582543109,0.00140005349197267,1.00083359714286,1.00025088966667,0.00239441687807438,1.00123024441205,55.861478434611,1.20106662841319,0.00445435451800397,71,"Greed",0.00315170160771941,0.00226585608018063,0.003991275414895,0.00138588779062136,0.00152547514201856,0.00303469301521562,0.0010918221517891,0.00231246310190258,0.00158198611109972,0.00368222899392112,0.00295396842125257,0.00302400892904624,0.00167209650606606,0.00353221947701891,0.00791894442992366,0.00272819467497482,0.00371240699848818,0.00771524972772885,1.71568093032423,1.00367377,1.00356647,1.0024375,1.00263235,20.01198516,4.34303039965033e+34,"UST",5.06831015454628,4.76776892690786,0.74026876429291,0.929216636050387,0.905906606389871,0.691479072607012,0.00454959053685168,0.0018610844694354,3.83936425212507,20,0.601238451185257,0.728015175919647,88223449.4606533,105588130.520653,-17364681.06,1526610.8142857,1.303558153946
2021-03-20,1.00369341,1.00468571,1.00056453,1.00268787,1,1,1,1,35377164.85,1524920798.77,0.991312044841752,1.00868795515825,1309136724.74,1305627373.54,-0.000540540586038766,1.00323001,1.00020472,0.00268786999999992,0.00411013249816222,0.00175510089433843,0.00156985392198645,0.00135319478298782,1.00118833285714,1.00038804233333,0.00149775730863512,1.00159465080904,54.2018513411251,0.983797815155549,0.00404151173575254,75,"Greed",0.00166240924913413,-0.000661411014540934,0.0014105316312273,-0.00054039452029558,0.00320349557293694,-0.0196991654269137,0.00488345881297046,0.00381560664328335,0.00490573833178073,0.00182468903480745,0.00350250435204142,0.0024826417535802,0.00306973133314892,0.00300518484284761,0.00671966436390401,0.00412045869963133,0.00246854408456854,0.00765976564248442,0.669419088204782,1.00437421,1.0053358,1.00215144,1.00223016,20.89200252,4.34303039965033e+34,"UST",5.58576439696936,4.94155879416896,0.742924602578818,0.895261271190919,0.90193383207323,0.674654439459316,0.00767263427109974,0.00276333906486097,0.974625367731827,25,0.667445171379796,0.724017150557453,32397228.4407679,31744053.5607679,653174.880000006,180430.194285698,0.0369249415740966
2021-03-21,1.00254258,1.0038931,0.98963769,1.00216977,0,0,0,0,50189951.13,1545081916.46,0.991349998884599,1.0086500011154,1338042502.81,1335145550.48,-0.00051684468881604,1.00268787,1.00004841,0.00216977000000007,0.0142245460068108,0.00110489310883632,0.00159510774192303,0.00135817113611698,1.00149138428571,1.00050897833333,0.000677375487128769,1.00173843060678,52.5937297420372,0.826888787479322,0.00356355515101546,73,"Greed",-0.00114659515399212,-0.000788913380682971,-0.0109206749513696,-0.000516711147607535,0.00366722927709417,0.000812768436921713,-0.00557229094536303,0.000327596707730945,0.00169243361466688,-0.000452910753103656,-0.00664430878401847,0.0021212573099337,0.00365563409821502,0.00280102962272025,-0.00626498152120896,0.00363337859233502,0.00858917471552917,0.00811419954989421,0.936610663664453,1.00042833,1.00293224,1.00096234,1.00128004,21.98266882,4.34303039965033e+34,"UST",4.96940861244645,4.87561902425773,0.636386354664396,0.919504094264285,0.908627747416039,0.706539273344978,0,0.00276333906486097,0,13,0.444365979632827,0.700428225053026,40961913.9760693,40651259.4060693,310654.570000008,-121630.132857157,0.389068962887518
2021-03-22,1.00241687,1.00551367,0.99895645,1.00321024,0,0,0,0,60837962.59,1536513404.23,0.991333949498431,1.00866605050157,1366869310.46,1362495377.57,0.00103767873238425,1.00216977,1.00071849,0.00321024000000003,0.00653623711017944,0.000904422539492199,0.00161515137729876,0.0013629196511191,1.00184734857143,1.000637891,0.00136037833559662,1.00210638295508,55.4521876393877,0.980658682280312,0.00473828007865006,70,"Greed",-0.000125391182886274,0.00161428542541038,0.00941633498214885,0.00103821730723324,0.000388452362336624,0.000162142430980325,-0.000198908039500826,-1.97063482979088e-05,0.00148520834038517,0.00361632330462943,0.00728294291821542,0.00248996098792991,0.00397528058954231,0.00301259790636463,0.037390179310377,0.00386992308125359,0.00392924389231287,0.007918101039761,1.09872784026529,0.99962078,1.00251773,1.00131022,1.00181096,19.4349181,4.34303039965033e+34,"UST",5.06151417171397,4.99869850523111,0.702361604788165,0.925978588594329,0.915954561117981,0.696607078780263,0,0.00259467655853612,0,36,0.813655152993505,0.69283949526687,125106947.560777,126338092.460777,-1231144.90000001,-1324757.09714287,1.60202134236817
2021-03-23,1.0035478,1.00460922,1.00004593,1.00188064,0,0,0,0,56785001.68,1548744970.69,0.991356823859484,1.00864317614052,1394426125.76,1391808638.11,-0.00132622437032178,1.00321024,1.00091543,0.00188063999999998,0.00455472420347408,0.00120136564062721,0.00173796886241517,0.0013421843298025,1.00198523571429,1.00065687066667,-0.000104388478550005,1.00204994721631,51.2033465764863,0.688625447499564,0.00337325279906738,66,"Greed",0.00112820327934024,-0.000899490506180732,0.0010906181145334,-0.00132534532342896,-0.000145074181566966,-7.61332616145935e-05,-0.000518307399923446,-0.000805066087016627,0.00304488332594926,0.00229496102678775,0.00198428864607162,0.000964327225927508,0.00371079259560955,0.00122638642046521,0.00473455393798816,0.000568644365076186,0.00273417567306077,0.00792696753646995,1.01357418405737,1.00452944,1.00287012,1.00080404,1.0011948,17.05208173,4.34303039965033e+34,"UST",5.5913808623782,5.13226460346993,0.74415563778256,0.916793218363794,0.915250488779761,0.688121298589507,0.0029940119760479,0.00269322863148042,3.43205371587043,38,0.753906707201487,0.687445993470678,115577903.862354,106960563.782354,8617340.08000001,708567.408571417,2.07937237404914
2021-03-24,1.00216721,1.00563093,0.99818325,1.00264585,0,0,0,0,68108234.75,1534087093.6,0.991329383165987,1.00867061683401,1419793879.5,1416047225.68,0.000763482090147312,1.00188064,0.99887655,0.00264584999999994,0.00742802655593693,0.00129293559832676,0.00145226031232994,0.00131977630327076,1.00252370714286,1.000749318,0.000121835380323163,1.00219892291223,53.4156084893274,0.814044576346091,0.00393879424871312,65,"Greed",-0.00137570925869192,0.0010170223203803,-0.00186259445103687,0.00076377361678529,-0.000374418012250398,0.00173109069083146,0.00863503895046676,0.000475049252383535,0.00167804052890788,-0.0187768870013003,0.00249190003684427,0.0037735393828196,0.000610939793121022,0.00308556026739893,0.00976614619338531,0.00277377385033,0.00446429445565275,0.0047661451110547,1.18933925145779,1.00191106,1.00349166,1.00155362,1.00130131,16.68674875,4.34303039965033e+34,"UST",4.99339116968126,5.12741941081297,0.638181650105943,0.922686904052371,0.920237884499037,0.696301611461101,0,0.0021737481119999,0,33,0.500314261959472,0.653991281253524,141201332.335693,123589807.155693,17611525.18,2152926.77571428,1.11308399222211
2021-03-25,1.00296432,1.00362044,0.99914354,1.00218735,0,0,0,0,53977311.03,1496899957.13,0.991258168965611,1.00874183103439,1442003036.99,1438855757.56,-0.000457394668038688,1.00264585,1.00184157,0.00218735000000003,0.00446712882576286,0.00104978396199522,0.00100731409616416,0.00131616675187012,1.00257310428571,1.00084870666667,-0.000384764247181001,1.00219602968418,51.897386156304,0.697828693439063,0.00333766407873811,60,"Greed",0.000795386231006235,-0.00199923246195299,0.00096203778214079,-0.000457290079044278,0.00054613007460659,-0.00188284859419174,0.000187285441722766,-0.0010196167854108,0.00408944238376868,0.000540945063056461,0.00397956902686282,0.000345144392441174,0.0030835565423662,0.00125047012471011,0.0259723896789396,0.00298403024506395,0.00268494636518754,0.00453089606496976,0.928068146811081,1.00243045,1.00089098,1.00083002,1.00101636,16.45265125,4.34303039965033e+34,"UST",5.55887212505703,5.26123449897036,0.748214545478873,0.911397436159737,0.917262592667975,0.68695682575706,0.000935453695042095,0.00230738435414878,2.33742477636058,32,0.685897320040645,0.638117577770427,86466872.4851251,85190861.0151251,1276011.47000001,1410411.46,0.069948736694915
