date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,PL_3,PH_3,PL_5,PH_5,PL_7,PH_7,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply,WLUNA_close
2021-08-03,1.0012039,1.00691268,0.99829106,1.00115983,0,0,0,0,1.00131345,1.00382844,1.00131345,1.00382844,1.00131345,1.00382844,43426139.48,963246163.97,0.9898743968092196,1.0101256031907802,2052567051.38,2050189187.86,14.71902523
2021-08-04,1.00234765,1.00487232,0.99890553,1.00131345,0,0,0,0,1.00172373,1.00382844,1.00135572,1.00382844,1.00031651,1.00382844,39365121.28,982548639.23,0.9899411426979332,1.0100588573020666,2053209851.27,2050516608.52,14.51312251
2021-08-05,1.00127274,1.00322192,0.99925704,1.00172373,0,0,0,0,1.00135572,1.00382844,1.00135572,1.00382844,1.00031651,1.00382844,34788866.26,985733402.59,0.9899519872942528,1.0100480127057472,2053889528.32,2050355273.59,14.5546346
2021-08-06,1.00163646,1.00437839,1.00041715,1.00382844,0,0,0,0,1.00135572,1.00376386,1.00031651,1.00376386,1.00031651,1.00405611,30957751.65,976417858.4099998,0.9899201339232412,1.010079866076759,2069281597.68,2061389698.75,14.49841383
2021-08-07,1.0035231,1.00680726,0.9993681,1.00376386,0,0,0,0,1.00135572,1.00348568,1.00031651,1.00348568,1.00031651,1.00405611,32824308.86,977358430.65,0.989923368453132,1.010076631546868,2069275238.95,2061515982.81,14.58826933
2021-08-08,1.00253845,1.00402713,0.99933458,1.00135572,0,0,0,0,1.00031651,1.00348568,1.00031651,1.00405611,1.00031651,1.00410661,31829776.75,963484695.52,0.9898752324824728,1.0101247675175271,2064602407.17,2061807172.61,13.41451984
2021-08-09,1.00213829,1.00542657,0.99993604,1.00348568,0,0,0,0,1.00031651,1.00324956,1.00031651,1.00405611,1.00031651,1.00410661,50764574.99,981482443.71,0.9899375016657564,1.0100624983342437,2081826923.61,2074595550.95,13.96946682
2021-08-10,1.00324076,1.00701864,0.99984553,1.00294309,0,0,0,0,1.00031651,1.00405611,1.00031651,1.00410661,1.00031651,1.00410661,45400963.65,1006489741.37,0.990021539348347,1.0099784606516529,2084223472.54,2078107424.7,16.74758476
2021-08-11,1.0030968,1.00843664,0.99877821,1.00031651,0,0,0,0,1.00308356,1.00405611,1.00149575,1.00410661,1.00149575,1.00410661,65013850.58,1045282519.47,0.9901465397079188,1.009853460292081,2091226900.39,2090565225.58,17.01953672
2021-08-12,0.999744,1.00546673,0.99882969,1.00324956,0,0,0,0,1.00308356,1.00410661,1.00149575,1.00410661,1.00149575,1.00410661,47415830.71,1065346557.03,0.990208790020041,1.009791209979959,2106173236.54,2099351271.77,16.56895136
2021-08-13,1.00256913,1.00886817,1.00088769,1.00405611,0,0,0,0,1.00149575,1.00410661,1.00149575,1.00410661,1.00149575,1.00472516,66559613.29,1098580504.13,0.990308536358354,1.009691463641646,2108535895.03,2100018000.75,17.80105681
2021-08-14,1.00407557,1.00888456,1.00004434,1.00308356,0,0,0,0,1.00149575,1.00410661,1.00149575,1.00410661,1.00149575,1.00472516,44899196.3,1118451872.99,0.99036627526672,1.00963372473328,2107989672.03,2101509532.87,17.4029368
2021-08-15,1.00313924,1.00664287,0.99877006,1.00410661,0,0,0,0,1.00149575,1.00350014,1.00149575,1.00472516,1.00149575,1.00472516,39646814.08,1121002585.77,0.990373587627483,1.0096264123725172,2113104465.2,2104462268.58,19.28481732
2021-08-16,1.0045283,1.00802113,0.99949319,1.00149575,0,0,0,0,1.00301274,1.00350014,1.00301274,1.00472516,1.00138359,1.00472516,105201947.1,1190534030.7399998,0.9905647648431096,1.0094352351568905,2132232338.53,2129047825.54,22.00045957
2021-08-17,1.00285798,1.01063933,0.99826381,1.00350014,0,0,0,0,1.00301274,1.00472516,1.00301274,1.00472516,1.00063061,1.00472516,140984862.33,1303413524.8,0.9908454024047144,1.0091545975952856,2175754913.47,2168166024.83,25.2349583
2021-08-18,1.00297626,1.01477429,0.99782693,1.00301414,0,0,0,0,1.00301274,1.00472516,1.00138359,1.00472516,1.00063061,1.00472516,153170453.18,1435453163.92,0.9911351717802516,1.0088648282197483,2204088396.51,2197464934.48,30.84176435
2021-08-19,1.00423437,1.0095476,0.99843461,1.00301274,0,0,0,0,1.00410156,1.00472516,1.00063061,1.00472516,1.00016963,1.00472516,117046704.95,1528102070.82,0.9913180780231576,1.0086819219768424,2240727620.22,2233997167.2,29.39685636
2021-08-20,1.00337661,1.00679915,1.00108978,1.00472516,0,0,0,0,1.00138359,1.00445391,1.00063061,1.00445391,1.00016963,1.00445391,69076207.14,1568266330.96,0.9913928363491152,1.0086071636508849,2263126103.66,2252482764.62,30.65245016
