date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,PL_3,PH_3,PL_5,PH_5,PL_7,PH_7,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply
2025-07-20,6.668869588e-5,7.111271611e-5,6.623631565e-5,6.964734559e-5,1,1,1,1,6.281834201e-5,7.022076421e-5,6.189601951e-5,7.022076421e-5,6.189601951e-5,7.022076421e-5,18016129.55,359945376.83,0.985942077868016,1.014057922131984,388395007.29,5576594541950.78
2025-07-21,6.964734559e-5,7.221735163e-5,6.835298856e-5,7.022076421e-5,1,1,1,1,6.189601951e-5,6.919768673e-5,6.189601951e-5,6.919768673e-5,6.02842273e-5,6.919768673e-5,25588910.17,371942417.26,0.9860948792812405,1.0139051207187595,391742659.58,5578729653485.63
2025-07-22,7.022076421e-5,7.037362595e-5,6.693323538e-5,6.919768673e-5,1,1,1,1,6.189601951e-5,6.309188391e-5,6.189601951e-5,6.410720905e-5,6.02842273e-5,6.410720905e-5,17110065.34,372301640.14,0.9860993529341032,1.0139006470658969,387576974.79,5601010569598.96
2025-07-23,6.919768673e-5,6.922804558e-5,6.091697532e-5,6.281834201e-5,1,1,1,1,6.189601951e-5,6.309188391e-5,6.02842273e-5,6.410720905e-5,5.982696323e-5,6.410720905e-5,18761388.97,377143510.67999995,0.9861590960918544,1.0138409039081455,351833531.53,5600808940404.95
2025-07-24,6.281820048e-5,6.372140333e-5,5.913755574e-5,6.189601951e-5,1,1,1,1,6.299488389e-5,6.410720905e-5,6.02842273e-5,6.410720905e-5,5.853568027e-5,6.410720905e-5,14134442.37,381775271.80999994,0.986215297372629,1.013784702627371,346662486.97,5600723434462.41
2025-07-25,6.189601951e-5,6.314315671e-5,6.038539843e-5,6.309188391e-5,1,1,1,1,6.02842273e-5,6.410720905e-5,5.982696323e-5,6.410720905e-5,5.79443351e-5,6.410720905e-5,10530768.88,381924432.73,0.9862170921488407,1.0137829078511593,353398514.06,5601330823588.68
2025-07-26,6.309188391e-5,6.385147882e-5,6.272703741e-5,6.299488389e-5,1,1,1,1,6.02842273e-5,6.410720905e-5,5.853568027e-5,6.410720905e-5,5.663873128e-5,6.410720905e-5,7240744.88,380909190.73,0.9862048577600375,1.0137951422399625,352977068.93,5603265648143.9
2025-07-27,6.299488389e-5,6.460412999e-5,6.285260871e-5,6.410720905e-5,1,1,1,1,5.982696323e-5,6.035748213e-5,5.79443351e-5,6.035748213e-5,5.663873128e-5,6.035748213e-5,7813609.19,382488842.49999994,0.9862238749500809,1.013776125049919,359299220.15,5604661713524.4
2025-07-28,6.410720905e-5,6.493629233e-5,6.005640146e-5,6.02842273e-5,1,1,1,1,5.853568027e-5,6.035748213e-5,5.663873128e-5,6.035748213e-5,5.663873128e-5,6.035748213e-5,12390037.13,390464344.5299999,0.9863183165109001,1.0136816834891,337886059.02,5604850964152.91
2025-07-29,6.028457512e-5,6.197197904e-5,5.914887168e-5,6.035748213e-5,1,1,1,1,5.79443351e-5,5.982696323e-5,5.663873128e-5,5.982696323e-5,5.663873128e-5,6.017338956e-5,9586249.38,395286215.22999996,0.9863741759428526,1.0136258240571474,338303487.23,5604996684017.39
2025-07-30,6.035748213e-5,6.036376219e-5,5.776125797e-5,5.982696323e-5,1,1,1,1,5.663873128e-5,5.853568027e-5,5.663873128e-5,6.017338956e-5,5.663873128e-5,6.017338956e-5,9901710.09,397978502.52,0.9864049712979602,1.0135950287020399,335314023.41,5604730798276.44
2025-07-31,5.982696323e-5,6.138225382e-5,5.835123105e-5,5.853568027e-5,1,1,1,1,5.663873128e-5,5.851610484e-5,5.663873128e-5,6.017338956e-5,5.663873128e-5,6.130150232e-5,9701254.12,400596756.55999994,0.98643465457242685,1.013565345427573,328113689.14,5605362192635.63
2025-08-01,5.853568027e-5,5.897041153e-5,5.691568605e-5,5.79443351e-5,1,1,1,1,5.663873128e-5,6.017338956e-5,5.663873128e-5,6.017338956e-5,5.663873128e-5,6.202393597e-5,14970671.7,403734077.46999997,0.9864698836673703,1.0135301163326298,324748901.8,5604497855004.37
2025-08-02,5.79443351e-5,5.860289034e-5,5.547835423e-5,5.663873128e-5,1,1,1,1,5.769716585e-5,6.017338956e-5,5.769716585e-5,6.130150232e-5,5.769716585e-5,6.32210488e-5,10412426.92,406271223.03,0.986498107491149,1.013501892508851,317428701.18,5604445827066.27
2025-08-03,5.663873128e-5,5.907952042e-5,5.618927654e-5,5.851610484e-5,1,1,1,1,5.769716585e-5,6.017338956e-5,5.769716585e-5,6.202393597e-5,5.769716585e-5,6.32210488e-5,13207194.28,411015240.8399999,0.9865502558000856,1.0134497441999144,327909692.38,5603751194013.44
2025-08-04,5.851610484e-5,6.037015842e-5,5.851582084e-5,6.017338956e-5,1,1,1,1,5.769716585e-5,6.130150232e-5,5.769716585e-5,6.32210488e-5,5.769716585e-5,6.32210488e-5,10717368.09,416152637.05999994,0.9866058307321347,1.0133941692678652,337246067.9,5604571561666.59
2025-08-05,6.017338956e-5,6.048779738e-5,5.677091735e-5,5.769716585e-5,1,1,1,1,5.886894945e-5,6.202393597e-5,5.886894945e-5,6.32210488e-5,5.886894945e-5,6.32210488e-5,8746020.12,417653633.16999996,0.9866218956617467,1.0133781043382533,323372568.14,5604652557607.42
2025-08-06,5.769716585e-5,5.934145432e-5,5.663361859e-5,5.886894945e-5,1,1,1,1,6.130150232e-5,6.32210488e-5,6.053747761e-5,6.32210488e-5,6.053747761e-5,6.32210488e-5,8221344.3,418548578.53999996,0.9866314375378642,1.0133685624621358,329994893.76,5605584893544.18
2025-08-07,5.886894945e-5,6.14452927e-5,5.839781852e-5,6.130150232e-5,1,1,1,1,6.202393597e-5,6.32210488e-5,6.053747761e-5,6.32210488e-5,5.824874183e-5,6.32210488e-5,9208490.5,421316233.53,0.986660774870245,1.013339225129755,343641098.29,5605753290011.77
2025-08-08,6.130150232e-5,6.24816323e-5,6.068137709e-5,6.202393597e-5,1,1,1,1,6.053747761e-5,6.32210488e-5,6.053747761e-5,6.32210488e-5,5.824874183e-5,6.32210488e-5,8537075.54,417427855.44,0.9866194841203806,1.0133805158796194,347773032.33,5607077765469.27
2025-08-09,6.202393597e-5,6.407942357e-5,6.196861021e-5,6.32210488e-5,1,1,1,1,6.053747761e-5,6.255604363e-5,5.824874183e-5,6.255604363e-5,5.824874183e-5,6.255604363e-5,10327921.94,413551173.34,0.9865778038611642,1.0134221961388357,354506309.14,5607409492375.18
2025-08-10,6.32210488e-5,6.434960181e-5,6.133609147e-5,6.255604363e-5,1,1,1,1,6.053747761e-5,6.250006599e-5,5.824874183e-5,6.250006599e-5,5.824874183e-5,6.250006599e-5,10234571.84,401453426.46999997,0.9864443105693692,1.0135556894306308,350841807.15,5608439837178.38
2025-08-11,6.255604363e-5,6.367141498e-5,6.024024659e-5,6.053747761e-5,1,1,1,1,5.824874183e-5,6.250006599e-5,5.824874183e-5,6.250006599e-5,5.824874183e-5,6.250006599e-5,11380371.55,400008974.62999994,0.9864280134192313,1.0135719865807686,333409242.61,5507484879774.34
2025-08-12,6.053747761e-5,6.292456852e-5,5.970603553e-5,6.190353806e-5,1,1,1,1,5.824874183e-5,6.250006599e-5,5.824874183e-5,6.250006599e-5,5.755908296e-5,6.250006599e-5,16571133.2,406288107.80999994,0.9864982945338234,1.0135017054661766,340806530.5,5505445103619.79
2025-08-13,6.190353806e-5,6.291941078e-5,6.086554644e-5,6.250006599e-5,1,1,1,1,5.824874183e-5,6.246858305e-5,5.824874183e-5,6.246858305e-5,5.755908296e-5,6.246858305e-5,15745664.82,407260419.21,0.9865090479508414,1.0134909520491586,344139000.06,5506233382614.98
2025-08-14,6.249989351e-5,6.340494981e-5,5.734725023e-5,5.824874183e-5,1,1,1,1,5.858136408e-5,6.246858305e-5,5.755908296e-5,6.246858305e-5,5.755908296e-5,6.246858305e-5,19609744.04,414030807.86999995,0.986582988850747,1.013417011149253,320685203.68,5505444299625.89
2025-08-15,5.824874183e-5,5.916431735e-5,5.712832453e-5,5.858136408e-5,1,1,1,1,5.885404657e-5,6.246858305e-5,5.755908296e-5,6.246858305e-5,5.755908296e-5,6.304648633e-5,12515444.08,411104931.1599999,0.9865512339766264,1.0134487660233735,322502076.05,5505199155277.47
2025-08-16,5.858136408e-5,6.395623635e-5,5.853600014e-5,6.246858305e-5,1,1,1,1,5.755908296e-5,6.135005509e-5,5.755908296e-5,6.135005509e-5,5.755908296e-5,6.304648633e-5,34248105.72,430249543.4499999,0.9867537424784252,1.0132462575215748,343979654.86,5506442407633.76
2025-08-17,6.246858305e-5,6.255161579e-5,6.110034995e-5,6.135005509e-5,1,1,1,1,5.755908296e-5,5.980927888e-5,5.755908296e-5,6.304648633e-5,5.755908296e-5,6.304648633e-5,10577561.73,399050762.30999994,0.9864171589527192,1.013582841047281,337817514.63,5506393011725.12
2025-08-18,6.135005509e-5,6.135319575e-5,5.859918287e-5,5.885404657e-5,1,1,1,1,5.755908296e-5,5.980927888e-5,5.755908296e-5,6.304648633e-5,5.739387309e-5,6.304648633e-5,12301089.42,398307509.85999995,0.9864087155543733,1.0135912844456267,324025058.86,5505569756609.23
2025-08-19,5.885404657e-5,6.045827052e-5,5.750790631e-5,5.755908296e-5,1,1,1,1,5.920940379e-5,6.304648633e-5,5.920940379e-5,6.304648633e-5,5.739387309e-5,6.304648633e-5,12541819.07,392833199.38,0.9863458729796116,1.0136541270203885,316823538.54,5504201675428.07
2025-08-20,5.756030706e-5,6.012290685e-5,5.745625026e-5,5.980927888e-5,1,1,1,1,5.920940379e-5,6.304648633e-5,5.739387309e-5,6.304648633e-5,5.739387309e-5,6.304648633e-5,9059057.09,376303346.3,0.9861488029857299,1.01385119701427,329167028,5503611382535.28
2025-08-21,5.980927888e-5,6.036295879e-5,5.887641121e-5,5.920940379e-5,1,1,1,1,6.07143076e-5,6.304648633e-5,5.739387309e-5,6.304648633e-5,5.739387309e-5,6.304648633e-5,7760375.7,366953656.65999997,0.9860321490064664,1.0139678509935337,325851621.12,5503376157090.65
2025-08-22,5.920940379e-5,6.345845016e-5,5.750256482e-5,6.304648633e-5,1,1,1,1,5.739387309e-5,6.219020971e-5,5.739387309e-5,6.219020971e-5,5.739387309e-5,6.219020971e-5,15580454.97,363772722.66,0.9859915541244035,1.0140084458755965,346972374.08,5503437134600.27
2025-08-23,6.304648633e-5,6.326248609e-5,6.150126017e-5,6.219020971e-5,1,1,1,1,5.739387309e-5,6.07143076e-5,5.739387309e-5,6.080196217e-5,5.739387309e-5,6.080196217e-5,12881173.37,362519453.6600001,0.9859754297866681,1.014024570213332,342322520.23,5504362810835.56
2025-08-24,6.219112584e-5,6.243349687e-5,5.988979889e-5,6.07143076e-5,1,1,1,1,5.739387309e-5,5.936287243e-5,5.739387309e-5,6.080196217e-5,5.739387309e-5,6.080196217e-5,13345437.65,365334122.43,0.9860115395000594,1.0139884604999407,334224567.56,5504873246431.01
2025-08-25,6.07143076e-5,6.090125899e-5,5.663404319e-5,5.739387309e-5,1,1,1,1,5.924214646e-5,6.080196217e-5,5.829890398e-5,6.080196217e-5,5.796507641e-5,6.080196217e-5,14787415.87,372880793.42,0.9861065534274103,1.0138934465725897,315928381.74,5504566336698.77
2025-08-26,5.739387309e-5,5.979130168e-5,5.695665268e-5,5.936287243e-5,1,1,1,1,5.829890398e-5,6.080196217e-5,5.829890398e-5,6.080196217e-5,5.796507641e-5,6.080196217e-5,9554695.89,374621880.11999995,0.986128110511978,1.013871889488022,326719699.66,5503771739100.29
2025-08-27,5.936287243e-5,5.992396703e-5,5.884110359e-5,5.924214646e-5,1,1,1,1,5.829890398e-5,6.080196217e-5,5.796507641e-5,6.080196217e-5,5.796507641e-5,6.080196217e-5,7422658.64,369654501.62999994,0.9860662504468886,1.0139337495531113,326088988.39,5504341214262.87
2025-08-28,5.924214646e-5,6.090302114e-5,5.911922552e-5,6.080196217e-5,1,1,1,1,5.829890398e-5,5.896843953e-5,5.796507641e-5,5.908885718e-5,5.796507641e-5,5.917489624e-5,9031684.59,369099936.8399999,0.9860592755516698,1.01394072444833,334652418.58,5504017190614.21
2025-08-29,6.080148499e-5,6.096622725e-5,5.743376538e-5,5.829890398e-5,1,1,1,1,5.796507641e-5,5.896843953e-5,5.796507641e-5,5.917489624e-5,5.796507641e-5,5.917910367e-5,12365563.4,371563790.14999986,0.9860901577336354,1.0139098422663646,320881193.49,5504069057138.99
