"date","token_address","shannon_entropy","gini_coefficient","pin_proxy","n_big_players","big_players_vol_pct","gross_inflow","gross_outflow","net_swap_flow"
"2018-01-18","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",1.99530471678813,-0.31838802849283,0.00540540540540541,4,0.917679230076673,10451300.6304535,10451300.6304535,0
"2018-01-19","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",1.71505332639547,-0.358364724535067,0.958823529411765,5,0.951375553759849,8971043.57793348,8971043.57793348,0
"2018-01-20","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",2.12511803561179,-0.42292036307115,0.0189873417721519,3,0.864748155892256,7116434.26505046,7116434.26505046,0
"2018-01-21","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",1.66528987692744,-0.259376217154105,0.937915742793792,4,0.952707240140756,13857125.2546792,13857125.2546792,0
"2018-01-22","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",2.19251570179674,-0.361772630694307,0.886939571150097,4,0.881702565843269,15403111.8529608,15403111.8529608,0
"2018-01-22","0xdac17f958d2ee523a2206206994597c13d831ec7",0.994031758404619,-0.522718049748853,0,0,0,5.5000593054366e-05,5.5000593054366e-05,0
"2018-01-23","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",2.00148343416879,-0.469554731035089,0.0238726790450928,4,0.880968986335043,9077075.38692639,9077075.38692639,0
"2018-01-23","0xdac17f958d2ee523a2206206994597c13d831ec7",1.00173962160329,-0.845933312888869,0.384615384615385,1,0.49999395286967,2.0004447299e-06,2.0004447299e-06,0
"2018-01-24","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",1.74129041743812,-0.443010017608117,0.0182926829268293,5,0.942089043903397,7192113.49949986,7192113.49949986,0
"2018-01-24","0xdac17f958d2ee523a2206206994597c13d831ec7",0.751983220734779,-0.782210172274922,0,1,0.852238967497417,1.340515775e-06,1.340515775e-06,0
"2018-01-25","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",1.79086096599275,-0.408073572860599,0.978260869565217,4,0.902293368598357,9592332.32682547,9592332.32682547,0
"2018-01-25","0xdac17f958d2ee523a2206206994597c13d831ec7",1.88910150451179,-0.423863718221977,0,1,0.443512827299369,4.644738716e-06,4.644738716e-06,0
"2018-01-26","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",2.01245372310717,-0.505174566402387,0.00298507462686567,5,0.934379718569369,6283636.11465781,6283636.11465781,0
"2018-01-26","0xdac17f958d2ee523a2206206994597c13d831ec7",1.21545456434494,-0.701290054255413,0.04,0,0,3.94660102258e-05,3.94660102258e-05,0
"2018-01-27","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",1.46250646116184,-0.391933372072675,0.0509803921568627,3,0.951489358398829,5985184.26391468,5985184.26391468,0
"2018-01-27","0xdac17f958d2ee523a2206206994597c13d831ec7",1.033611448406,-0.877470102957908,0,2,0.985939577379329,2.8431444367276e-05,2.8431444367276e-05,0
"2018-01-28","0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359",1.9078503503334,-0.445451143165398,0.00223713646532438,5,0.938085175498255,9268024.15988621,9268024.15988621,0
