date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,PL_3,PH_3,PL_5,PH_5,PL_7,PH_7,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply,WLUNA_close
2022-08-14,0.9996370586,1.0004311107,0.9980776376,0.9994255439,0,0,0,0,0.9994471118,0.9998462444,0.9986598227,0.9998462444,0.9986598227,1.000619438,356843514.3,20455067872.15,0.9963434934276798,1.0036565065723202,7264092074.73,7268267375.46,1.00366528e-4
2022-08-15,0.9994854026,1.0012023601,0.9979254799,0.9995642616,0,0,0,0,0.9986598227,0.9998462444,0.9986598227,1.000619438,0.9986598227,1.000619438,637063803.91,20850233138.94,0.9963667409707524,1.0036332590292474,7257923535.26,7261087470.17,9.664899497e-5
2022-08-16,0.9995187165,1.0003466348,0.9980862735,0.9998462444,0,0,0,0,0.9986598227,0.9994471118,0.9986598227,1.000619438,0.9986598227,1.000619438,522823196.65,21194077104.92,0.9963864963588438,1.0036135036411562,7232423249.23,7233535446.15,9.713398199e-5
2022-08-17,0.9998413611,1.0009436101,0.9969173828,0.9994471118,0,0,0,0,0.9986598227,1.000619438,0.9986598227,1.000619438,0.9986598227,1.000619438,575993159.92,21407289406.91,0.996398532998687,1.0036014670013131,7187156676.91,7191132569.59,9.515216469e-5
2022-08-18,0.9995297603,1.0006466463,0.9984970078,0.9986598227,0,0,0,0,0.9989288904,1.000619438,0.9989288904,1.000619438,0.9989288904,1.000619438,333647251.7,21393880349.08,0.9963977807244756,1.0036022192755245,7144965701.2,7154554072.34,9.322819225e-5
2022-08-19,0.9985339272,1.0007643938,0.9976994798,0.9989288904,0,0,0,0,0.9997307054,1.000619438,0.9994982462,1.000619438,0.9993502296,1.000619438,808502471.92,21871862169.55,0.9964242148768484,1.0035757851231517,7098758066.01,7106369766.84,8.666440095e-5
2022-08-20,0.9989361184,1.0010486206,0.9969666365,1.000619438,0,0,0,0,0.9997307054,1.0002943439,0.9994982462,1.0002943439,0.9993502296,1.0002943439,504655674.42,22089788993.879997,0.9964360127295392,1.0035639872704607,7055579992.01,7051212203.29,8.79811228e-5
2022-08-21,1.0005929596,1.001216733,0.9986640724,0.9997307054,0,0,0,0,0.9994982462,1.0002943439,0.9993502296,1.0002943439,0.9987017107,1.0002943439,428157935.51,22155268420.539997,0.9964395272905224,1.0035604727094771,7008387056.86,7010274886.15,9.02586051e-5
2022-08-22,0.9998887507,1.0013765997,0.997666742,1.0002943439,0,0,0,0,0.9994982462,1.0002239376,0.9993502296,1.0002239376,0.9987017107,1.0002239376,490923610.25,22416955136.249996,0.9964534360728872,1.0035465639271128,6993503468.59,6991445579.57,9.169689667e-5
2022-08-23,1.0003639805,1.0012467135,0.9986380682,0.9998960478,0,0,0,0,0.9993502296,1.0002239376,0.9987017107,1.0002239376,0.9987017107,1.0002239376,475977727.92,22582566762.75999,0.9964621270527964,1.0035378729472035,6965380867.13,6966105008.97,1.0595230901e-4
2022-08-24,0.9998738373,1.000794538,0.9986896092,0.9994982462,0,0,0,0,0.9993502296,1.0002239376,0.9987017107,1.0002239376,0.9987017107,1.0002239376,415089299.36,22355819845.93999,0.9964502061477608,1.003549793852239,6958344595.85,6961837724.42,1.0012038408e-4
2022-08-25,0.9995000165,1.001021549,0.9990897197,1.0002239376,0,0,0,0,0.9987017107,1.0001571469,0.9987017107,1.0001571469,0.9987017107,1.0001571469,298166577.27,21490031101.55999,0.9964031611097016,1.0035968388902985,6974742098.66,6973180541.56,1.3313969911e-4
2022-08-26,1.000265631,1.0011332988,0.9980275921,0.9993502296,0,0,0,0,0.9987017107,1.0001571469,0.9987017107,1.0001571469,0.9987017107,1.0001908663,562172158.12,20754925062.839993,0.9963611880681784,1.0036388119318216,6963907332.8,6968435215.77,1.2186408342e-4
2022-08-27,0.999480941,1.0007982615,0.997376287,1.0001571469,0,0,0,0,0.9987017107,0.9999175305,0.9987017107,0.9999175305,0.9987017107,1.0002285461,457308373.96,20374606002.789993,0.9963386864159236,1.0036613135840764,6940751369.58,6939660823.24,1.3445215227e-4
