date,open,high,low,close,depeg_1d,depeg_3d,depeg_5d,depeg_7d,volume,V_monthly,ThreshD,ThreshU,marketCap,circulatingSupply,WLUNA_close,log_return,close_lag1d,close_lag7d,abs_peg_deviation,intraday_range,volatility_3d,volatility_7d,volatility_30d,ma_7d,ma_30d,dist_from_ma_7d,ema_7d,rsi_14,bb_pctb,dist_from_lower_band
2025-08-30,0.999891149,1.0011478578,0.9994305293,0.9998154765,0,0,0,0,9549055113.21,486352974610.92993,0.9987284030589032,1.001271596941097,71544102637.46,71553256928.83,5.896843953e-5,-9.829830780235885e-5,0.9999137615,0.999977807,1.8452349999997786e-4,0.0017176454459493938,5.626183573439012e-5,1.1546369515746936e-4,1.3852164720298802e-4,0.9999127263714307,0.9998932532000013,-9.725835952061538e-5,0.9999063063170865,46.78658520777833,0.28904111026590534,1.303290298595606e-4
2025-08-31,0.9998720632,1.0007158144,0.9994038439,0.9997903246,0,0,0,0,9422306317.85,476576257162.8299,0.99871976646451,1.00128023353549,71543115152.24,71563445617.84,5.844473134e-5,-2.515685840432362e-5,0.9998154765,0.9997846759,2.0967540000005336e-4,0.0013122456456305164,3.838941126629573e-5,8.857788289724983e-5,1.3125593195547887e-4,0.9999135333285736,0.9998933012100013,-1.2321938294352998e-4,0.999877310887815,45.93839010400153,0.255673663992268,1.1059752849159359e-4
2025-09-01,0.9997159099,1.0009836736,0.9991234075,0.9999050393,0,0,0,0,17089848527.63,483627638830.86,0.9987260189662496,1.0012739810337503,71516584098.48,71528242950.49,5.796507641e-5,1.1473217590721391e-4,0.9997903246,0.9998714648,9.49607000000352e-5,0.0018604427689476568,1.0824401486933309e-4,9.358445849430925e-5,1.327906133477254e-4,0.9999183296857164,0.999896023606668,-1.3291471235035455e-5,0.9998842429908612,50.358679443259746,0.5086762018308997,2.1488814831174255e-4
2025-09-02,0.9998370035,1.0011092417,0.9992892928,0.9998654204,0,0,0,0,16704202079.07,492273832309.58,0.9987335217092268,1.0012664782907734,72153657334.77,72167648286.02,5.908885718e-5,-3.962344759414892e-5,0.9999050393,1.0000185781,1.3457959999996216e-4,0.0018201938609617653,8.52485411702122e-5,6.986088814602077e-5,1.3299802256040228e-4,0.9998964500142878,0.9998969968666679,-3.1032827736671784e-5,0.9998795373431459,48.87242344084577,0.41510820322231334,1.7541448345041822e-4
2025-09-03,0.9998061326,1.0010170949,0.9995226089,1.0000341589,0,0,0,0,13147418934.12,493361301855.12,0.9987344529197651,1.0012655470802347,72686840826.39,72687477994.66,5.917489624e-5,1.6874697324480932e-4,0.9998654204,0.999989419,3.415889999991428e-5,0.001494434951745833,1.0813686475829333e-4,9.997836537010313e-5,1.3636561369372428e-4,0.9999028414285736,0.9999043838400012,1.3133023128401874e-4,0.9999181927323595,54.96827429812201,0.7845431697578171,3.4282783282185746e-4
2025-09-04,0.9999912341,1.0008614991,0.9993351615,0.9998941065,0,0,0,0,12609800924.42,493488185230.58,0.9987345613929124,1.0012654386070876,72579904914.71,72585761368.91,5.822732962e-5,-1.4005742371049127e-4,1.0000341589,0.9999957088,1.0589350000000941e-4,0.001526499246347926,1.575147460917387e-4,1.1428154182264392e-4,1.3863463890434442e-4,0.9998883268142879,0.9999052360100013,5.780331220139097e-6,0.9999121711742696,49.674408975833394,0.4650682172221771,2.0331724938266584e-4
2025-09-05,0.9999193168,1.0010813154,0.9992735703,0.9998391948,0,0,0,0,17107891795.05,499679911911.7901,0.9987398099781571,1.0012601900218427,72552511025.26,72564534135.54,5.917910367e-5,-5.491902342983146e-5,0.9998941065,0.9999137615,1.6080519999994713e-4,0.0018080358415651454,1.594966984244173e-4,1.1205811525156468e-4,1.3872685452120015e-4,0.9998776744285737,0.9999027277533347,-3.8484336192033406e-5,0.9998939270807021,47.73333717216135,0.3520169799643013,1.550888418001965e-4
2025-09-06,0.9998343115,1.0007758543,0.9992172551,0.9998538127,0,0,0,0,5985125336.5,491545236857.51,0.9987328962701612,1.0012671037298388,72547856649.02,72559692905.03,5.902159282e-5,1.4620144137459113e-5,0.9998391948,0.9998154765,1.4618730000004465e-4,0.001558827080722108,7.746977154957373e-5,1.0525984236926512e-4,1.3820052533847031e-4,0.9998831510285736,0.9999029740400013,-2.9341757127798373e-5,0.9998838984855266,48.312366184235835,0.3947264182725593,1.7438958392239085e-4
2025-09-07,0.9998368756,1.000506266,0.9994739653,1.0000686325,0,0,0,0,6648281704.73,483112951122.33,0.998725566711994,1.001274433288006,72514780390.5,72514536495.5,5.953832583e-5,2.1482813130275914e-4,0.9998538127,0.9997903246,6.863250000010979e-5,0.0010322298554843762,1.4004907558725073e-4,1.2983289546508552e-4,1.4353290757307342e-4,0.9999229093000023,0.9999111752366681,1.457344347674281e-4,0.999930081989145,56.022774599296774,0.8436528278754736,3.938373333284468e-4
2025-09-08,1.0000033634,1.0004544943,0.9992980205,0.999810349,0,0,0,0,13550807566.56,484956098059.79,0.9987271833187936,1.0012728166812062,72553561071.61,72564000991.12,5.996102834e-5,-2.582991309228128e-4,1.0000686325,0.9999050393,1.896510000000129e-4,0.0011566931680159539,2.3749300869894762e-4,1.6556962150313662e-4,1.4966583366700625e-4,0.999909382114288,0.9999065577100014,-9.904208927277601e-5,0.9999001487418587,46.953619201288475,0.29705219356558377,1.1517304632037426e-4
