"model","window","coin","horizon","feature","baseline_logloss","perm_logloss_mean","perm_logloss_sd","importance_logloss"
"RF","Window 1","DAI","depeg_3d","gross_inflow",0.602103426817776,0.603347765998374,0.000266670625013546,0.00124433918059796
"RF","Window 1","DAI","depeg_3d","dist_from_ma_7d",0.602103426817776,0.60324019214101,0.000635633175938659,0.00113676532323359
"RF","Window 1","DAI","depeg_3d","log_diff_entropy",0.602103426817776,0.603228615690032,0.000640383227160841,0.00112518887225566
"RF","Window 1","DAI","depeg_3d","net_swap_flow",0.602103426817776,0.603220981468751,0.000708288695318506,0.00111755465097496
"RF","Window 1","DAI","depeg_3d","ma_7d",0.602103426817776,0.603220289598285,0.000376442784101237,0.00111686278050827
"RF","Window 1","DAI","depeg_3d","volatility_3d",0.602103426817776,0.603033317279596,0.00113146040775591,0.000929890461819904
"RF","Window 1","DAI","depeg_3d","pct_high_3d",0.602103426817776,0.602791529029102,0.000358593253303195,0.00068810221132598
"RF","Window 1","DAI","depeg_3d","pct_close_7d",0.602103426817776,0.602785458255759,0.000658653400467631,0.000682031437982955
"RF","Window 1","DAI","depeg_3d","pct_high_1d",0.602103426817776,0.602723368364304,0.0002616160935437,0.000619941546527447
"RF","Window 1","DAI","depeg_3d","circulatingSupply",0.602103426817776,0.602574757005281,0.000192073125828711,0.000471330187504448
"RF","Window 1","DAI","depeg_3d","pct_close_1d",0.602103426817776,0.602552187584867,0.000343411908809802,0.000448760767090994
"RF","Window 1","DAI","depeg_3d","pct_low_1d",0.602103426817776,0.602364484708018,0.00021781340387272,0.000261057890241334
"RF","Window 1","DAI","depeg_3d","pct_open_3d",0.602103426817776,0.602268926938813,0.000269642407847167,0.000165500121036222
"RF","Window 1","DAI","depeg_3d","pct_low_3d",0.602103426817776,0.602212392408391,0.000182084163479571,0.000108965590614463
"RF","Window 1","DAI","depeg_3d","pct_low_7d",0.602103426817776,0.602211208305926,0.000530595354795922,0.000107781488149716
"RF","Window 1","DAI","depeg_3d","volume",0.602103426817776,0.602203924729101,0.000681296393310423,0.000100497911324493
"RF","Window 1","DAI","depeg_3d","token_address",0.602103426817776,0.602103426817776,0,0
"RF","Window 1","DAI","depeg_3d","value",0.602103426817776,0.602083705404321,0.000333356262645984,-1.97214134554091e-05
"RF","Window 1","DAI","depeg_3d","ema_7d",0.602103426817776,0.60203776127684,0.000270384840076902,-6.56655409358997e-05
"RF","Window 1","DAI","depeg_3d","rsi_14",0.602103426817776,0.60197749138993,0.000281924377658299,-0.000125935427846002
"RF","Window 1","DAI","depeg_3d","log_diff_gini",0.602103426817776,0.601976596989312,0.000465741274460584,-0.000126829828464792
"RF","Window 1","DAI","depeg_3d","marketCap",0.602103426817776,0.601915763774755,0.000130264817583013,-0.00018766304302098
"RF","Window 1","DAI","depeg_3d","close_lag1d",0.602103426817776,0.601871451634838,0.000504477902057458,-0.000231975182938271
"RF","Window 1","DAI","depeg_3d","log_diff_net_flow",0.602103426817776,0.601859252361831,0.000445163825104304,-0.000244174455944934
"RF","Window 1","DAI","depeg_3d","pct_high_7d",0.602103426817776,0.601858800478257,0.00100947233064488,-0.000244626339519383
"RF","Window 1","DAI","depeg_3d","pct_high_30d",0.602103426817776,0.601812777442798,0.00118223599154847,-0.00029064937497858
"RF","Window 1","DAI","depeg_3d","close_wluna",0.602103426817776,0.601801737199757,0.000162145645673939,-0.000301689618018908
"RF","Window 1","DAI","depeg_3d","net_flow_7d_avg",0.602103426817776,0.601749451451532,0.00130607449173539,-0.000353975366244041
"RF","Window 1","DAI","depeg_3d","rvol",0.602103426817776,0.601554641048458,0.000496932424904854,-0.000548785769318716
"RF","Window 1","DAI","depeg_3d","pct_open_1d",0.602103426817776,0.601472669024568,0.000469177636915776,-0.000630757793208092
"RF","Window 1","DAI","depeg_3d","close_usdt",0.602103426817776,0.601370418498201,0.000431637951624202,-0.000733008319575013
"RF","Window 1","DAI","depeg_3d","close_pax",0.602103426817776,0.601172855140727,0.000545460524188032,-0.000930571677049019
"RF","Window 1","DAI","depeg_3d","close_usdc",0.602103426817776,0.601163341808759,0.000465894306980887,-0.000940085009016989
"RF","Window 1","DAI","depeg_3d","entropy_7d_avg",0.602103426817776,0.600809241042232,0.000916338037440814,-0.00129418577554474
"RF","Window 1","DAI","depeg_3d","big_player_7d_avg",0.602103426817776,0.598780752351116,0.000549665513477883,-0.00332267446666046
"RF","Window 1","DAI","depeg_3d","close_lag7d",0.602103426817776,0.598087160242492,0.00116529381933476,-0.00401626657528431
"RF","Window 1","DAI","depeg_3d","n_big_players",0.602103426817776,0.593752785071371,0.00203826158779893,-0.00835064174640576
"RF","Window 1","DAI","depeg_3d","ma_30d",0.602103426817776,0.589971997461443,0.00148758872111122,-0.0121314293563335
